symbol,date,price
PFE,Jan 2010,14.68
PFE,Feb 2010,13.94
PFE,Mar 2010,13.62
PFE,Apr 2010,13.28
PFE,May 2010,12.22
PFE,Jun 2010,11.44
PFE,Jul 2010,12.04
PFE,Aug 2010,12.91
PFE,Sep 2010,13.93
PFE,Oct 2010,14.13
PFE,Nov 2010,13.36
PFE,Dec 2010,14.35
PFE,Jan 2011,14.94
PFE,Feb 2011,15.94
PFE,Mar 2011,16.82
PFE,Apr 2011,17.37
PFE,May 2011,17.94
PFE,Jun 2011,17.23
PFE,Jul 2011,16.10
PFE,Aug 2011,16.05
PFE,Sep 2011,14.95
PFE,Oct 2011,16.29
PFE,Nov 2011,17.15
PFE,Dec 2011,18.49
PFE,Jan 2012,18.28
PFE,Feb 2012,18.24
PFE,Mar 2012,19.55
PFE,Apr 2012,19.77
PFE,May 2012,19.06
PFE,Jun 2012,20.05
PFE,Jul 2012,20.96
PFE,Aug 2012,20.99
PFE,Sep 2012,21.86
PFE,Oct 2012,21.88
PFE,Nov 2012,22.21
PFE,Dec 2012,22.66
PFE,Jan 2013,24.43
PFE,Feb 2013,24.51
PFE,Mar 2013,25.84
PFE,Apr 2013,26.03
PFE,May 2013,24.59
PFE,Jun 2013,25.29
PFE,Jul 2013,26.61
PFE,Aug 2013,25.68
PFE,Sep 2013,26.15
PFE,Oct 2013,27.94
PFE,Nov 2013,29.11
PFE,Dec 2013,28.1
PFE,Jan 2014,27.89
PFE,Feb 2014,29.7
PFE,Mar 2014,29.71
PFE,Apr 2014,28.93
PFE,May 2014,27.65
PFE,Jun 2014,27.7
PFE,Jul 2014,27.02
PFE,Aug 2014,27.67
PFE,Sep 2014,27.84
PFE,Oct 2014,28.2
PFE,Nov 2014,29.58
PFE,Dec 2014,29.58
PFE,Jan 2015,29.67
PFE,Feb 2015,32.88
PFE,Mar 2015,33.33
PFE,Apr 2015,32.5
PFE,May 2015,33.56
PFE,Jun 2015,32.39
PFE,Jul 2015,34.83
PFE,Aug 2015,31.36
PFE,Sep 2015,30.58
PFE,Oct 2015,32.92
PFE,Nov 2015,32.16
PFE,Dec 2015,31.68
PFE,Jan 2016,29.92
PFE,Feb 2016,29.41
PFE,Mar 2016,29.38
PFE,Apr 2016,32.42
PFE,May 2016,34.7
PFE,Jun 2016,34.69
